BMI	WHR	FG	LDL	TG	SBP	DBP
5.851924982	3.89272112	NA	11.2968520173024	7.27144222714536	8.60136866404524	7.80597862970533
5.869592542	3.90083832	NA	11.310426469218	7.28282949698476	8.62423404042856	7.82836156371927
5.887226182	3.90893554	NA	11.3239549932088	7.29411997266296	8.64694135510504	7.85054904647391
5.904825022	3.91697402	NA	11.3373704059328	7.30537461619136	8.66962605138973	7.87272781098443
5.922336022	3.92500754	NA	11.350290832915	7.31645091413296	8.69228246648622	7.89484087749844
5.939844862	3.93303638	NA	11.3630359073908	7.32741145453456	8.71478141367893	7.91694328588893
5.957324542	3.94103388	NA	11.3757719035552	7.33829018672236	8.73706158133821	7.93897028567273
5.974753682	3.94900704	NA	11.3884396886604	7.34912779574812	8.7593065201964	7.96097844732133
5.992181682	3.9569724	NA	11.4008304168064	7.35975228049812	8.78149654925434	7.98297372876876
6.009608322	3.96493542	NA	11.4131530271632	7.3703323874322	8.8036188098064	8.00493271503527
6.027030702	3.97286622	NA	11.4254733100612	7.3808359456012	8.82574098954502	8.02672843746336
6.044426502	3.98079018	NA	11.4377395435612	7.3912180657808	8.84784887467553	8.04848597902814
6.061781382	3.98868358	NA	11.4499508246674	7.4015116855394	8.86994780239819	8.07020472674267
6.079093182	3.99657622	NA	11.4619954062274	7.41177195836714	8.89201581839681	8.09180126953054
6.096381262	4.00443862	NA	11.4739943030914	7.42195325260574	8.91404061326287	8.11338465739442
6.113656462	4.01229238	NA	11.4859196114342	7.43210393617334	8.93596318264879	8.13487586734734
6.130882022	4.02007828	NA	11.4976903484358	7.44224916252134	8.95782725364953	8.15632812085896
6.147905902	4.0277722	NA	11.5093685876374	7.45237860403494	8.97961126313277	8.17776079616579
6.164862682	4.03539904	NA	11.5210040987106	7.46247741267094	9.00138565581738	8.19919321170071
6.181783882	4.04299954	NA	11.5326377034398	7.47254269128114	9.02312325379422	8.22053915122451
6.198694282	4.05049924	NA	11.5442541251446	7.48253675256894	9.04485988903711	8.24177020428767
6.215554422	4.05792774	NA	11.5558685165698	7.49243727005304	9.06656171828543	8.26292184190268
6.232326022	4.06535198	NA	11.5674400624709	7.50233252326404	9.08825460535162	8.28404696783257
6.249075742	4.07269526	NA	11.5790041855519	7.51211480005844	9.10988846464606	8.3051632484357
6.265775782	4.07993506	NA	11.5905298924735	7.52183492627764	9.13145085909843	8.32620800953524
6.282470982	4.08716886	NA	11.6020286486476	7.53153833473804	9.15291753062406	8.34720870098536
6.299135882	4.09434762	NA	11.6135196269436	7.54121614410124	9.1743463966884	8.36815661388626
6.315783062	4.1014895	NA	11.6249874945456	7.5508262314234	9.19575037807117	8.38907811228289
6.332418982	4.10853554	NA	11.6363792147304	7.5604008092278	9.21711488384835	8.40993758686692
6.348986302	4.11558042	NA	11.6476910190706	7.5699305888278	9.23842696044633	8.43078984016579
6.365437462	4.12262012	NA	11.6588304883492	7.5794575410604	9.25971596656579	8.45158654339217
6.381879602	4.12962924	NA	11.6699555645074	7.5889713605912	9.28098404200588	8.47236217332365
6.398295622	4.13654524	NA	11.6810128498277	7.5984451256856	9.30223839673037	8.49304861926208
6.414705222	4.14340504	NA	11.6920123350385	7.6078618923576	9.32349008109792	8.51369656102397
6.431056582	4.15024824	NA	11.7029295718544	7.6172759283648	9.3447401257726	8.53432678596823
6.447355722	4.15692428	NA	11.7137544829298	7.626684859794	9.36586213151671	8.55483680566882
6.463492522	4.1635929	NA	11.724291404639	7.6359511892782	9.38697513651823	8.5753357467518
6.479606002	4.17024064	NA	11.734814888775	7.645078654616	9.40803808989521	8.59577013545106
6.495692302	4.17682628	NA	11.7451425236218	7.6541945936456	9.42909545894679	8.61602842309457
6.511777462	4.18337762	NA	11.755347804523	7.6632689245424	9.45011697260036	8.63625396452727
6.527851462	4.1899003	NA	11.765543703802	7.6722412413406	9.47113811380942	8.65646823298065
6.543903622	4.19634568	NA	11.775685474506	7.6811016154448	9.49207030402325	8.67662938835839
